   0.9995834    0.0161691   -0.0239094    0.1109305 ;  -0.0162527    0.9998624   -0.0033074   -3.3228363 ;   0.0238527    0.0036946    0.9997087   26.7977000 ;   0.0000000    0.0000000    0.0000000    1.0000000 
   0.9995419    0.0154734   -0.0260090    0.0921654 ;  -0.0155863    0.9998699   -0.0041437   -3.4623267 ;   0.0259415    0.0045472    0.9996531   27.8938672 ;   0.0000000    0.0000000    0.0000000    1.0000000 
   0.9994705    0.0160488   -0.0283063    0.0681406 ;  -0.0161388    0.9998654   -0.0029555   -3.5954093 ;   0.0282551    0.0034107    0.9995949   28.9726524 ;   0.0000000    0.0000000    0.0000000    1.0000000 
   0.9993338    0.0210744   -0.0297955    0.0398022 ;  -0.0211079    0.9997769   -0.0008127   -3.7298888 ;   0.0297717    0.0014411    0.9995557   30.0811125 ;   0.0000000   -0.0000000    0.0000000    1.0000000 
   0.9991799    0.0249160   -0.0319163    0.0108703 ;  -0.0249021    0.9996895    0.0008340   -3.8639447 ;   0.0319272   -0.0000385    0.9994902   31.1787842 ;   0.0000000   -0.0000000    0.0000000    1.0000000 
   0.9991878    0.0244355   -0.0320420   -0.0089472 ;  -0.0244221    0.9997014    0.0008092   -4.0253433 ;   0.0320522   -0.0000260    0.9994862   32.4617715 ;   0.0000000   -0.0000000    0.0000000    1.0000000 
   0.9990850    0.0269305   -0.0332245   -0.0377453 ;  -0.0269897    0.9996348   -0.0013351   -4.1571845 ;   0.0331764    0.0022306    0.9994470   33.5509575 ;   0.0000000   -0.0000000    0.0000000    1.0000000 
   0.9989267    0.0311085   -0.0343179   -0.0776787 ;  -0.0313484    0.9994875   -0.0064749   -4.3203143 ;   0.0340989    0.0075437    0.9993900   34.9092970 ;   0.0000000    0.0000000    0.0000000    1.0000000 
   0.9988485    0.0323012   -0.0354739   -0.1049419 ;  -0.0324803    0.9994623   -0.0044859   -4.4575678 ;   0.0353099    0.0056330    0.9993605   36.0809618 ;   0.0000000    0.0000000    0.0000000    1.0000000 
   0.9986799    0.0347511   -0.0378271   -0.1451636 ;  -0.0348212    0.9993928   -0.0011967   -4.5759196 ;   0.0377625    0.0025123    0.9992836   37.1018319 ;   0.0000000   -0.0000000    0.0000000    1.0000000 
   0.9985855    0.0370636   -0.0381226   -0.1868062 ;  -0.0368659    0.9993030    0.0058753   -4.7138732 ;   0.0383138   -0.0044616    0.9992558   38.2750352 ;   0.0000000   -0.0000000    0.0000000    1.0000000 
   0.9984933    0.0391071   -0.0384947   -0.2256226 ;  -0.0387819    0.9992057    0.0091590   -4.8462510 ;   0.0388223   -0.0076523    0.9992168   39.4310540 ;   0.0000000   -0.0000000    0.0000000    1.0000000 
   0.9982865    0.0432765   -0.0393853   -0.2779910 ;  -0.0428445    0.9990127    0.0117466   -4.9659814 ;   0.0398548   -0.0100391    0.9991550   40.5197410 ;   0.0000000   -0.0000000    0.0000000    1.0000000 
   0.9981779    0.0453342   -0.0398201   -0.3152191 ;  -0.0448485    0.9989091    0.0130089   -5.0863724 ;   0.0403664   -0.0111994    0.9991222   41.6387328 ;   0.0000000   -0.0000000    0.0000000    1.0000000 
   0.9979237    0.0499342   -0.0406790   -0.3602153 ;  -0.0494763    0.9987009    0.0121869   -5.1987120 ;   0.0412347   -0.0101490    0.9990979   42.6999917 ;   0.0000000   -0.0000000    0.0000000    1.0000000 
   0.9976559    0.0551228   -0.0405480   -0.4488077 ;  -0.0547654    0.9984504    0.0098740   -5.4321172 ;   0.0410294   -0.0076302    0.9991288   44.8522673 ;   0.0000000   -0.0000000    0.0000000    1.0000000 
   0.9978556    0.0514414   -0.0404722   -0.4829732 ;  -0.0509631    0.9986190    0.0127634   -5.5555142 ;   0.0410729   -0.0106734    0.9990991   45.9471606 ;   0.0000000   -0.0000000    0.0000000    1.0000000 
   0.9977652    0.0521431   -0.0417827   -0.5223663 ;  -0.0514263    0.9985136    0.0180524   -5.6746444 ;   0.0426619   -0.0158633    0.9989636   47.0079114 ;   0.0000000   -0.0000000    0.0000000    1.0000000 
   0.9977894    0.0519409   -0.0414531   -0.5658970 ;  -0.0510304    0.9984384    0.0227294   -5.7945967 ;   0.0425690   -0.0205638    0.9988819   48.2057921 ;   0.0000000   -0.0000000    0.0000000    1.0000000 
   0.9982201    0.0427171   -0.0416152   -0.5937033 ;  -0.0415269    0.9987148    0.0290564   -5.9118023 ;   0.0428029   -0.0272765    0.9987111   49.3700649 ;   0.0000000   -0.0000000    0.0000000    1.0000000 
   0.9984593    0.0359096   -0.0423018   -0.6170497 ;  -0.0344508    0.9988030    0.0347230   -6.0196225 ;   0.0434980   -0.0332121    0.9985013   50.5108111 ;   0.0000000   -0.0000000    0.0000000    1.0000000 
   0.9984761    0.0351530   -0.0425422   -0.6491828 ;  -0.0335944    0.9987573    0.0368127   -6.1220775 ;   0.0437834   -0.0353274    0.9984162   51.6288796 ;   0.0000000   -0.0000000    0.0000000    1.0000000 
   0.9986233    0.0309318   -0.0423653   -0.6805209 ;  -0.0295447    0.9990191    0.0329844   -6.2286625 ;   0.0433441   -0.0316873    0.9985576   52.7594197 ;   0.0000000   -0.0000000    0.0000000    1.0000000 
   0.9987679    0.0266693   -0.0418494   -0.7086318 ;  -0.0255861    0.9993290    0.0262086   -6.3422170 ;   0.0425203   -0.0251056    0.9987801   53.9068211 ;   0.0000000   -0.0000000    0.0000000    1.0000000 
   0.9988658    0.0232704   -0.0415413   -0.7396058 ;  -0.0224710    0.9995552    0.0196073   -6.4543625 ;   0.0419791   -0.0186516    0.9989444   55.0216651 ;   0.0000000   -0.0000000    0.0000000    1.0000000 
   0.9989331    0.0224181   -0.0403746   -0.7688486 ;  -0.0218029    0.9996404    0.0156132   -6.5752848 ;   0.0407101   -0.0147163    0.9990626   56.1299896 ;   0.0000000   -0.0000000    0.0000000    1.0000000 
   0.9990031    0.0218863   -0.0389078   -0.7995003 ;  -0.0213613    0.9996758    0.0138590   -6.6997825 ;   0.0391985   -0.0130141    0.9991467   57.2566117 ;   0.0000000   -0.0000000    0.0000000    1.0000000 
   0.9990874    0.0203731   -0.0375404   -0.8222501 ;  -0.0199552    0.9997350    0.0114734   -6.8295598 ;   0.0377642   -0.0107138    0.9992292   58.3764742 ;   0.0000000   -0.0000000    0.0000000    1.0000000 
   0.9991890    0.0203707   -0.0347333   -0.8461613 ;  -0.0201057    0.9997661    0.0079634   -6.9598419 ;   0.0348874   -0.0072586    0.9993649   59.5027137 ;   0.0000000   -0.0000000    0.0000000    1.0000000 
