   0.9999526   -0.0097369   -0.0000697    0.5023094 ;   0.0097371    0.9999479    0.0030535   -1.2873175 ;   0.0000400   -0.0030540    0.9999953   12.9478220 ;  -0.0000000    0.0000000   -0.0000000    1.0000000 
   0.9999374   -0.0111878   -0.0001289    0.5455726 ;   0.0111882    0.9999334    0.0028177   -1.3842195 ;   0.0000974   -0.0028190    0.9999960   13.9772286 ;  -0.0000000    0.0000000   -0.0000000    1.0000000 
   0.9999409   -0.0108706   -0.0003459    0.5847771 ;   0.0108713    0.9999384    0.0022392   -1.4912962 ;   0.0003215   -0.0022428    0.9999974   14.9952217 ;  -0.0000000    0.0000000   -0.0000000    1.0000000 
   0.9999244   -0.0122405   -0.0011440    0.6273799 ;   0.0122422    0.9999240    0.0014613   -1.5896493 ;   0.0011260   -0.0014752    0.9999983   15.9802680 ;  -0.0000000    0.0000000   -0.0000000    1.0000000 
   0.9999435   -0.0105857   -0.0009808    0.6573913 ;   0.0105868    0.9999433    0.0011253   -1.6862637 ;   0.0009688   -0.0011356    0.9999989   16.9400702 ;  -0.0000000   -0.0000000   -0.0000000    1.0000000 
   0.9999270   -0.0120213   -0.0012342    0.6936553 ;   0.0120230    0.9999268    0.0013407   -1.7803894 ;   0.0012180   -0.0013555    0.9999983   17.8805198 ;  -0.0000000    0.0000000   -0.0000000    1.0000000 
   0.9999369   -0.0110686   -0.0019222    0.7251922 ;   0.0110682    0.9999387   -0.0001971   -1.8745018 ;   0.0019243    0.0001758    0.9999981   18.7951533 ;  -0.0000000   -0.0000000   -0.0000000    1.0000000 
   0.9999432   -0.0105339   -0.0016532    0.7590073 ;   0.0105307    0.9999427   -0.0019472   -1.9629249 ;   0.0016737    0.0019297    0.9999967   19.6900256 ;  -0.0000000   -0.0000000   -0.0000000    1.0000000 
   0.9999287   -0.0118225   -0.0016876    0.7947826 ;   0.0118184    0.9999272   -0.0024347   -2.0502012 ;   0.0017163    0.0024145    0.9999956   20.5716629 ;  -0.0000000   -0.0000000   -0.0000000    1.0000000 
   0.9999336   -0.0113890   -0.0017351    0.8314611 ;   0.0113840    0.9999311   -0.0028735   -2.1435537 ;   0.0017677    0.0028535    0.9999944   21.4241560 ;  -0.0000000   -0.0000000   -0.0000000    1.0000000 
   0.9999301   -0.0117841   -0.0009139    0.8627913 ;   0.0117839    0.9999305   -0.0002062   -2.2324392 ;   0.0009163    0.0001954    0.9999996   22.2481498 ;  -0.0000000   -0.0000000   -0.0000000    1.0000000 
   0.9999387   -0.0110706    0.0003523    0.8870898 ;   0.0110700    0.9999377    0.0014515   -2.3130545 ;  -0.0003684   -0.0014476    0.9999989   23.0605672 ;  -0.0000000    0.0000000   -0.0000000    1.0000000 
   0.9999355   -0.0108153    0.0034567    0.9192174 ;   0.0108109    0.9999408    0.0012696   -2.3887186 ;  -0.0034702   -0.0012321    0.9999932   23.8658203 ;   0.0000000    0.0000000   -0.0000000    1.0000000 
   0.9999037   -0.0112699    0.0081032    0.9662930 ;   0.0112607    0.9999359    0.0011874   -2.4591331 ;  -0.0081161   -0.0010960    0.9999665   24.6296811 ;   0.0000000   -0.0000000   -0.0000000    1.0000000 
   0.9998152   -0.0123734    0.0147125    1.0127541 ;   0.0123622    0.9999232    0.0008537   -2.5351879 ;  -0.0147220   -0.0006716    0.9998914   25.3607087 ;   0.0000000   -0.0000000   -0.0000000    1.0000000 
   0.9996679   -0.0142945    0.0214420    1.0723383 ;   0.0143102    0.9998974   -0.0005800   -2.6063301 ;  -0.0214315    0.0008867    0.9997699   26.1047554 ;   0.0000000   -0.0000000   -0.0000000    1.0000000 
   0.9994452   -0.0157022    0.0293709    1.1304664 ;   0.0157660    0.9998738   -0.0019394   -2.6770259 ;  -0.0293368    0.0024014    0.9995667   26.8220309 ;   0.0000000   -0.0000000   -0.0000000    1.0000000 
   0.9991177   -0.0166658    0.0385495    1.1947593 ;   0.0168300    0.9998506   -0.0039396   -2.7516025 ;  -0.0384781    0.0045849    0.9992489   27.5170600 ;   0.0000000   -0.0000000   -0.0000000    1.0000000 
   0.9986443   -0.0155208    0.0496866    1.2694033 ;   0.0158330    0.9998573   -0.0058965   -2.8265862 ;  -0.0495880    0.0066752    0.9987475   28.1924244 ;   0.0000000   -0.0000000   -0.0000000    1.0000000 
   0.9977902   -0.0141901    0.0649109    1.3507793 ;   0.0147897    0.9998522   -0.0087657   -2.8945509 ;  -0.0647769    0.0097064    0.9978526   28.8582299 ;   0.0000000   -0.0000000   -0.0000000    1.0000000 
   0.9962804   -0.0118974    0.0853454    1.4442230 ;   0.0129092    0.9998527   -0.0113138   -2.9637726 ;  -0.0851982    0.0123735    0.9962872   29.4950292 ;   0.0000000   -0.0000000   -0.0000000    1.0000000 
   0.9936736   -0.0120211    0.1116616    1.5640279 ;   0.0136005    0.9998178   -0.0133933   -3.0303510 ;  -0.1114802    0.0148272    0.9936560   30.1164537 ;   0.0000000   -0.0000000   -0.0000000    1.0000000 
   0.9895637   -0.0134606    0.1434662    1.7082479 ;   0.0155450    0.9997891   -0.0134182   -3.0937027 ;  -0.1432554    0.0155083    0.9895642   30.7186078 ;   0.0000000   -0.0000000   -0.0000000    1.0000000 
   0.9838934   -0.0192688    0.1777145    1.8871750 ;   0.0217788    0.9996886   -0.0121838   -3.1635794 ;  -0.1774244    0.0158580    0.9840067   31.3202261 ;   0.0000000   -0.0000000   -0.0000000    1.0000000 
   0.9765919   -0.0224400    0.2139269    2.0848335 ;   0.0253993    0.9996158   -0.0110945   -3.2250721 ;  -0.2135958    0.0162684    0.9767867   31.8836693 ;   0.0000000   -0.0000000   -0.0000000    1.0000000 
   0.9667550   -0.0274411    0.2542279    2.3032488 ;   0.0304056    0.9995077   -0.0077379   -3.2926454 ;  -0.2538904    0.0152106    0.9671134   32.4397196 ;   0.0000000   -0.0000000   -0.0000000    1.0000000 
   0.9539187   -0.0301685    0.2985448    2.5621415 ;   0.0322544    0.9994776   -0.0020611   -3.3466057 ;  -0.2983267    0.0115955    0.9543934   33.0071391 ;   0.0000000   -0.0000000   -0.0000000    1.0000000 
   0.9376968   -0.0348682    0.3457007    2.8372979 ;   0.0371170    0.9993109    0.0001147   -3.4015520 ;  -0.3454665    0.0127238    0.9383448   33.5154357 ;   0.0000000   -0.0000000   -0.0000000    1.0000000 
   0.9179674   -0.0409721    0.3945341    3.1448558 ;   0.0450335    0.9989849   -0.0010361   -3.4613695 ;  -0.3940912    0.0187184    0.9188807   34.0099113 ;   0.0000000   -0.0000000   -0.0000000    1.0000000 
   0.8940256   -0.0440345    0.4458465    3.4804083 ;   0.0489930    0.9987990    0.0004051   -3.5148858 ;  -0.4453289    0.0214812    0.8951093   34.4872677 ;   0.0000000   -0.0000000   -0.0000000    1.0000000 
   0.8652692   -0.0463748    0.4991578    3.8433528 ;   0.0507537    0.9986996    0.0048059   -3.5595877 ;  -0.4987316    0.0211757    0.8664978   34.9561230 ;   0.0000000   -0.0000000   -0.0000000    1.0000000 
   0.8334760   -0.0510254    0.5501946    4.2198592 ;   0.0541998    0.9984750    0.0104932   -3.6005525 ;  -0.5498910    0.0210746    0.8349705   35.3654282 ;   0.0000000   -0.0000000   -0.0000000    1.0000000 
   0.7987983   -0.0622484    0.5983698    4.6337247 ;   0.0643469    0.9977671    0.0178972   -3.6412302 ;  -0.5981477    0.0242070    0.8010202   35.7467989 ;   0.0000000   -0.0000000   -0.0000000    1.0000000 
   0.7609170   -0.0703570    0.6450234    5.0632206 ;   0.0719290    0.9971231    0.0239101   -3.6837317 ;  -0.6448500    0.0282023    0.7637887   36.1012068 ;   0.0000000   -0.0000000   -0.0000000    1.0000000 
   0.7199990   -0.0669397    0.6907391    5.4980897 ;   0.0682211    0.9973432    0.0255418   -3.7226955 ;  -0.6906137    0.0287329    0.7226528   36.4382243 ;   0.0000000   -0.0000000   -0.0000000    1.0000000 
   0.6773328   -0.0611014    0.7331350    5.9514337 ;   0.0649246    0.9976213    0.0231614   -3.7566968 ;  -0.7328063    0.0319105    0.6796887   36.7511908 ;   0.0000000   -0.0000000   -0.0000000    1.0000000 
   0.6348044   -0.0565134    0.7706034    6.4377100 ;   0.0617246    0.9978434    0.0223312   -3.7826397 ;  -0.7702035    0.0333892    0.6369236   37.0278079 ;   0.0000000   -0.0000000   -0.0000000    1.0000000 
   0.5882142   -0.0584592    0.8065895    6.9259246 ;   0.0654047    0.9975555    0.0246027   -3.8060364 ;  -0.8060560    0.0382830    0.5905998   37.2761312 ;   0.0000000   -0.0000000   -0.0000000    1.0000000 
   0.5396672   -0.0610247    0.8396638    7.4293135 ;   0.0681498    0.9972629    0.0286775   -3.8341370 ;  -0.8391156    0.0417466    0.5423489   37.4949119 ;   0.0000000   -0.0000000   -0.0000000    1.0000000 
   0.4910714   -0.0615403    0.8689428    7.9464592 ;   0.0683533    0.9971481    0.0319911   -3.8645654 ;  -0.8684335    0.0436852    0.4938774   37.6696692 ;   0.0000000   -0.0000000   -0.0000000    1.0000000 
   0.4400307   -0.0624824    0.8958063    8.4727552 ;   0.0703493    0.9969090    0.0349779   -3.8909893 ;  -0.8952228    0.0476280    0.4430662   37.8286300 ;   0.0000000   -0.0000000   -0.0000000    1.0000000 
